score,review,time,released
score,review,time,released
8,"관람객루니마라 그녀가 넘 강했다,,,ㅋㅋ 글고 영화관에 나랑 모르는 1인 두사람만 보았다,, 왜 안보나 다들 ?",2018.11.30 18:45,True
10,스웨덴의 설경도 최고 긴장감넘친 액션최고여주인공 연기멋지다,2018.11.30 14:59,True
6,시리즈중 클레어포이가 리스베트역에 제일 잘어울린다 묘하네 분위기가,2018.11.30 13:57,True
8,관람객스토리는 이해안가는부분이많아여 액션은 굳,2018.11.29 23:21,True
10,액션 스릴러를 좋아하시는 분이면 강추!!,2018.11.29 16:38,True
8,관람객액션짱.개멋잇음.언니는내꺼,2018.11.28 20:21,True
10,개대박 재밌습니다. 상영관좀 늘려주세요.,2018.12.03 00:39,True
8,딱 이게 적당하다고 생각합니다,2018.12.02 20:04,True
9,정말 재미있게 잘만든영화네요. 몰입감도있고 스릴도있으면서 요즘 쫌 뜸했던 장르영화라 더재미있게본것같아요...상영을많이안해서 ..약간007 영화느낌있어요.,2018.12.02 00:23,True
10,배우보러갔다가 스토리가 더 재미나서 잘 봤어요. 존잼,2018.11.30 21:10,True
10,지루한 장면없이 재미있게 봤어요.북유럽 배경과 영화가 잘 어울려요.킬링타임용으로 괜찮아요.,2018.11.30 21:08,True
10,군더더기 없는 깔끔한 영화,2018.11.30 21:06,True
10,새롭네여..군더더기없이 시간 가는줄 몰라...모처럼 속도감있는 좋은 영화봤네요~~,2018.11.29 17:57,True
8,성난황소보단 낫다 하지만 전작에 비해선 약하다,2018.11.29 17:53,True
10,연출 미쳤음!!!!(맨인더다크 감독임) 매력적인 장면 엄청 많아요 긴장감 오지고 다크한 분위기 연기 다들 잘하고 매력 넘치는 배우들,2018.11.29 11:12,True
10,상영관 늘려라 이런 영화가 상영관이 왜이렇게 적은지이해할수가 없다,2018.11.29 01:54,True
10,액션 퀄리티 좋음 긴장감 잘 끌어가고 여성중심 액션영화임. 지나치게 학대적이거나 약자에게 폭력적인 장면 없음. 강하고 똑똑한 액션. 여러회 볼 생각 있음.,2018.11.29 00:40,True
10,밀레니엄시리즈에서 실망이란 없다,2018.11.29 00:28,True
10,클레어 포이! 압도적 연기!,2018.11.28 23:13,True
10,보고왔습니다.. 후덜덜 북유럽 풍경만봐도 본전획득,2018.11.28 20:41,True
10,"북유럽 느와르에 완성도 높은 액션을 첨가한 수작. 연기 변신, 진짜 놀랍다. (소설 읽은 입장에서 싱크로 문제를 떠나 그 자체로 완성도 인정할 수밖에)",2018.11.28 19:51,True
10,완전 재미있어요 쓰레기 평점 무시하고 보세요,2018.11.28 19:25,True
10,볼게없어서 별기대없이 보다가 스토리도 탄탄하고 처음부터 끝까지 지루할틈이없이 끝까지 재밋게봤음 여운이남는영화는아니지만 돈아깝지 않음,2018.11.28 19:09,True
